"","year","state","sex","emailIntUse","intMobile","age","educationLevel","employed","income","intAtHome","marital","race","party","demoOrRep","useTwitter","useInstagram","usePinterest","useLinkedin","useFacebook","freqTwitter","freqInstagram","freqFacebook","useSocialMedia","zipcode","freqPinterest","freqLinkedin","intfreq","useSnapchat","useYoutube","useWhatsap","freqSnapchat","freqYoutube","internetOpinionSociety","answers","internetOpinionYou","ageGroups"
"18",2013,1,"female","yes","yes",34,"postgraduate degree","fulltime","(50000, 75000]","yes","married","black",NA,NA,"no","no","no","yes","no",NA,NA,NA,NA,36695,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"19",2013,1,"female","yes","yes",36,"some college","parttime","refused","yes","married","white",NA,NA,"no","no","yes","no","yes",NA,NA,"about once a day",NA,35585,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"20",2013,1,"female","yes","yes",40,"some college","not employed","(40000, 50000]","yes","married","white",NA,NA,"no","no","no","no","yes",NA,NA,"a few times a week",NA,35564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"21",2013,1,"female","yes","yes",50,"bachelors degree","fulltime","(50000, 75000]","yes","married","white",NA,NA,"no","no","no","no","yes",NA,NA,"several times a day",NA,36609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"22",2013,1,"female","yes","yes",53,"high school graduate","fulltime","(30000, 40000]","yes","separated","black",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,36644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"23",2013,1,"female","yes","yes",56,"some college","fulltime","(30000, 40000]","no","divorced","black",NA,NA,"no","no","no","no","yes",NA,NA,"about once a day",NA,36303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"24",2013,1,"female","yes","yes",64,"high school graduate","fulltime","(20000, 30000]","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,35404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"25",2013,1,"female","yes","no",70,"high school graduate","retired","(30000, 40000]","yes","widowed","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,35172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"26",2013,1,"female","yes","no",74,"high school graduate","retired","(30000, 40000]","yes","married","white",NA,NA,"no","no","dont know","no","yes",NA,NA,"several times a day",NA,36693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"27",2013,1,"female","no","no",59,"bachelors degree","retired","(30000, 40000]",NA,"divorced","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"28",2013,1,"female","no","no",61,"high school graduate","disabled","(0, 10000]",NA,"divorced","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"29",2013,2,"male","yes","yes",23,"high school graduate","not employed","dont know","no","never been married","mixed race",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,99508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"30",2013,2,"male","yes","yes",51,"postgraduate degree","fulltime","150000+","yes","married","black",NA,NA,"yes","no","no","yes","yes","a few times a week",NA,"a few times a week",NA,99705,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"31",2013,2,"female","yes","yes",43,"high school graduate","not employed","(20000, 30000]","no","never been married","native american",NA,NA,"no","no","no","no","yes",NA,NA,"a few times a week",NA,99608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"32",2013,2,"female","yes","yes",45,"associate","fulltime","(40000, 50000]","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,99835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"33",2013,2,"female","yes","yes",53,"bachelors degree","fulltime","150000+","yes","married","white",NA,NA,"no","no","yes","yes","yes",NA,NA,"every few weeks",NA,99517,"less often","less often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"34",2013,2,"female","yes","yes",62,"associate","retired","refused","no","married","refused",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,99521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"35",2013,2,"female","yes","yes",63,"some college","parttime","(75000, 100000]","yes","married","white",NA,NA,"no","no","no","yes","yes",NA,NA,"about once a day",NA,99516,NA,"every few weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"36",2013,2,"female","yes","no",54,"associate","not employed","(100000, 150000]","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,99588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"37",2013,2,"female","yes","no",55,"postgraduate degree","fulltime","150000+","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,99645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"38",2013,2,"female","yes","no",62,"bachelors degree","fulltime","(75000, 100000]","yes","divorced","white",NA,NA,"no","no","refused","no","yes",NA,NA,"every few weeks",NA,99755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"39",2013,4,"male","yes","yes",27,"associate","fulltime","(50000, 75000]","yes","living with a partner","white",NA,NA,"no","no","no","no","yes",NA,NA,"every few weeks",NA,85282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"40",2013,4,"male","yes","yes",52,"some college","disabled","(10000, 20000]","yes","living with a partner","native american",NA,NA,"yes","no","no","no","yes","several times a day",NA,"about once a day",NA,85122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"41",2013,4,"male","yes","yes",55,"postgraduate degree","fulltime","150000+","yes","married","white",NA,NA,"no","no","no","yes","yes",NA,NA,"every few weeks",NA,85298,NA,"every few weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"42",2013,4,"male","yes","yes",57,"high school graduate","fulltime","(50000, 75000]","yes","married","white",NA,NA,"no","no","no","yes","yes",NA,NA,"about once a day",NA,85213,NA,"about once a day",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"43",2013,4,"male","yes","yes",60,"associate","fulltime","(40000, 50000]","yes","divorced","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,85713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"44",2013,4,"male","yes","yes",67,"bachelors degree","fulltime","(40000, 50000]","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,86322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"45",2013,4,"male","yes","no",43,"associate","fulltime","(50000, 75000]","yes","never been married","white",NA,NA,"no","no","no","no","yes",NA,NA,"a few times a week",NA,85007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"46",2013,4,"male","yes","no",47,"less than high school","disabled","(10000, 20000]","no","married","white",NA,NA,"no","no","no","no","yes",NA,NA,"a few times a week",NA,85033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"47",2013,4,"male","yes","no",66,"postgraduate degree","fulltime","(10000, 20000]","yes","never been married","white",NA,NA,"no","no","no","yes","no",NA,NA,NA,NA,85733,NA,"every few weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"48",2013,4,"male","yes","no",80,"high school graduate","retired","150000+","yes","married","white",NA,NA,"dont know","no","no","no","no",NA,NA,NA,NA,85374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75+"
"49",2013,4,"male","no","yes",33,"less than high school","not employed","(30000, 40000]","no","widowed","other",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,85607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"50",2013,4,"male","no","no",70,"high school graduate","retired","refused",NA,"married","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"51",2013,4,"male","no","no",87,"associate","retired","(10000, 20000]",NA,"widowed","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75+"
"52",2013,4,"female","yes","yes",25,"bachelors degree","fulltime","(50000, 75000]","yes","married","white",NA,NA,"no","no","no","no","yes",NA,NA,"about once a day",NA,85308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"53",2013,4,"female","yes","yes",26,"some college","fulltime","(10000, 20000]","yes","married","white",NA,NA,"no","no","no","no","yes",NA,NA,"several times a day",NA,85120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"54",2013,4,"female","yes","yes",41,"high school graduate","parttime","(30000, 40000]","yes","married","white",NA,NA,"no","no","yes","no","yes",NA,NA,"about once a day",NA,85234,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"55",2013,4,"female","yes","yes",44,"postgraduate degree","fulltime","150000+","yes","married","mixed race",NA,NA,"no","no","no","no","yes",NA,NA,"less often",NA,85650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"56",2013,4,"female","yes","yes",55,"associate","retired","(75000, 100000]","yes","married","white",NA,NA,"no","no","no","no","yes",NA,NA,"several times a day",NA,85044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"57",2013,4,"female","yes","yes",58,"bachelors degree","fulltime","(100000, 150000]","yes","married","white",NA,NA,"no","yes","no","no","yes",NA,"every few weeks","about once a day",NA,85928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"58",2013,4,"female","yes","yes",64,"high school graduate","retired","refused","yes","widowed","white",NA,NA,"no","no","no","no","yes",NA,NA,"about once a day",NA,85143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"59",2013,4,"female","yes","yes",99,"some college","retired","refused","yes","widowed","white",NA,NA,"no","no","no","yes","yes",NA,NA,"several times a day",NA,85032,NA,"every few weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"refused"
"60",2013,4,"female","yes","no",30,"some college","fulltime","(20000, 30000]","yes","never been married","white",NA,NA,"no","no","no","no","yes",NA,NA,"several times a day",NA,85007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"61",2013,4,"female","yes","no",54,"high school graduate","fulltime","(75000, 100000]","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,85023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"62",2013,4,"female","yes","no",64,"postgraduate degree","disabled","(50000, 75000]","yes","widowed","mixed race",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,85392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"63",2013,4,"female","yes","no",67,"some college","retired","(30000, 40000]","yes","married","white",NA,NA,"no","no","yes","no","yes",NA,NA,"every few weeks",NA,86444,"every few weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"64",2013,4,"female","yes","no",83,"some college","retired","(30000, 40000]","yes","widowed","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,85234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75+"
"65",2013,4,"female","yes","no",83,"bachelors degree","retired","refused","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,85715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75+"
"66",2013,4,"female","no","yes",46,"postgraduate degree","fulltime","(0, 10000]","yes","never been married","white",NA,NA,"no","no","no","no","yes",NA,NA,"about once a day",NA,85202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"67",2013,4,"female","no","no",47,"high school graduate","parttime","(0, 10000]",NA,"married","other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"68",2013,5,"male","yes","yes",22,"high school graduate","fulltime","(10000, 20000]","yes","married","black",NA,NA,"no","no","no","no","yes",NA,NA,"a few times a week",NA,72390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"69",2013,5,"male","yes","yes",27,"some college","fulltime","(10000, 20000]","yes","never been married","white",NA,NA,"no","yes","no","no","yes",NA,"about once a day","several times a day",NA,72205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"70",2013,5,"male","yes","yes",40,"high school graduate","fulltime","(75000, 100000]","yes","married","white",NA,NA,"no","no","no","yes","yes",NA,NA,"several times a day",NA,72687,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"71",2013,5,"male","yes","yes",40,"bachelors degree","fulltime","(100000, 150000]","yes","married","white",NA,NA,"no","yes","yes","no","yes",NA,"several times a day","several times a day",NA,72762,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"72",2013,5,"male","yes","yes",42,"postgraduate degree","fulltime","150000+","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,72602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"73",2013,5,"male","yes","yes",43,"bachelors degree","fulltime","(100000, 150000]","yes","married","white",NA,NA,"no","no","no","yes","no",NA,NA,NA,NA,72022,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"74",2013,5,"male","yes","yes",44,"bachelors degree","fulltime","(75000, 100000]","yes","married","black",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,71603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"75",2013,5,"male","yes","no",51,"bachelors degree","retired","(40000, 50000]","yes","never been married","white",NA,NA,"no","no","no","no","yes",NA,NA,"less often",NA,72022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"76",2013,5,"male","yes","no",53,"some college","not employed","refused","yes","never been married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,72650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"77",2013,5,"male","yes","no",80,"some college","retired","(50000, 75000]","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,72715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75+"
"78",2013,5,"male","no","yes",43,"high school incomplete","selfemployed","refused","no","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,72908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"79",2013,5,"male","no","yes",71,"some college","parttime","(50000, 75000]","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,71730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"80",2013,5,"male","no","no",33,"high school incomplete","disabled","(10000, 20000]",NA,"divorced","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"81",2013,5,"male","no","no",72,"high school graduate","retired","(30000, 40000]",NA,"married","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"82",2013,5,"female","yes","yes",26,"high school incomplete","not employed","(30000, 40000]","yes","married","white",NA,NA,"no","no","no","no","yes",NA,NA,"less often",NA,72153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"83",2013,5,"female","yes","yes",35,"bachelors degree","not employed","(75000, 100000]","yes","married","white",NA,NA,"yes","no","yes","no","yes","less often",NA,"a few times a week",NA,72460,"every few weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"84",2013,5,"female","yes","yes",47,"bachelors degree","fulltime","(75000, 100000]","yes","married","black",NA,NA,"no","no","yes","yes","yes",NA,NA,"several times a day",NA,72120,"less often","less often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"85",2013,5,"female","yes","yes",49,"high school graduate","not employed","(10000, 20000]","yes","widowed","white",NA,NA,"no","no","no","no","yes",NA,NA,"about once a day",NA,71854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"86",2013,5,"female","yes","yes",52,"bachelors degree","not employed","(0, 10000]","yes","refused","white",NA,NA,"no","no","no","no","yes",NA,NA,"several times a day",NA,72205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"87",2013,5,"female","yes","yes",66,"some post grad","retired","150000+","yes","married","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,72207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"88",2013,5,"female","yes","yes",67,"postgraduate degree","fulltime","(100000, 150000]","yes","divorced","white",NA,NA,"no","no","no","yes","yes",NA,NA,"a few times a week",NA,72118,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"89",2013,5,"female","no","yes",80,"high school incomplete","retired","(20000, 30000]","no","widowed","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,71953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75+"
"90",2013,5,"female","no","no",27,"some college","not employed","(0, 10000]",NA,"never been married","black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"91",2013,5,"female","no","no",56,"high school incomplete","not employed","(0, 10000]",NA,"divorced","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"92",2013,5,"female","no","no",65,"high school incomplete","retired","(10000, 20000]",NA,"married","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"93",2013,5,"female","no","no",70,"high school graduate","retired","(20000, 30000]",NA,"married","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"94",2013,5,"female","no","no",72,"high school graduate","retired","(10000, 20000]",NA,"married","mixed race",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"95",2013,6,"male","yes","yes",18,"high school graduate","parttime","(10000, 20000]","yes","never been married","white",NA,NA,"yes","no","no","no","yes","every few weeks",NA,"about once a day",NA,90036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"96",2013,6,"male","yes","yes",18,"high school graduate","parttime","(100000, 150000]","yes","never been married","white",NA,NA,"no","no","no","no","yes",NA,NA,"a few times a week",NA,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"97",2013,6,"male","yes","yes",18,"some college","parttime","(0, 10000]","yes","never been married","white",NA,NA,"no","yes","no","no","no",NA,"less often",NA,NA,93257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"98",2013,6,"male","yes","yes",21,"less than high school","fulltime","dont know","yes","never been married","white",NA,NA,"no","no","no","no","yes",NA,NA,"dont know",NA,93725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"99",2013,6,"male","yes","yes",22,"some college","fulltime","dont know","yes","never been married","other",NA,NA,"no","yes","dont know","dont know","yes",NA,"several times a day","about once a day",NA,92113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"100",2013,6,"male","yes","yes",23,"high school graduate","fulltime","(30000, 40000]","yes","never been married","black",NA,NA,"no","yes","no","no","yes",NA,"a few times a week","several times a day",NA,93035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"101",2013,6,"male","yes","yes",23,"high school graduate","parttime","(10000, 20000]","yes","living with a partner","white",NA,NA,"no","no","no","yes","yes",NA,NA,"about once a day",NA,95991,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"102",2013,6,"male","yes","yes",23,"some college","fulltime","(0, 10000]","yes","never been married","mixed race",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,91775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"103",2013,6,"male","yes","yes",23,"bachelors degree","fulltime","(50000, 75000]","yes","never been married","white",NA,NA,"yes","yes","no","yes","yes","several times a day","a few times a week","several times a day",NA,91504,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"104",2013,6,"male","yes","yes",24,"some college","fulltime","(50000, 75000]","yes","never been married","white",NA,NA,"yes","no","no","yes","yes","every few weeks",NA,"several times a day",NA,91367,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"105",2013,6,"male","yes","yes",29,"high school graduate","fulltime","(50000, 75000]","yes","divorced","white",NA,NA,"no","no","no","no","yes",NA,NA,"a few times a week",NA,92027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"106",2013,6,"male","yes","yes",30,"bachelors degree","fulltime","(50000, 75000]","yes","never been married","asian",NA,NA,"no","no","no","yes","yes",NA,NA,"less often",NA,94121,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"107",2013,6,"male","yes","yes",30,"bachelors degree","fulltime","refused","yes","married","asian",NA,NA,"yes","no","no","yes","yes","about once a day",NA,"several times a day",NA,65112,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"108",2013,6,"male","yes","yes",31,"high school incomplete","fulltime","(10000, 20000]","yes","separated","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,92264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"109",2013,6,"male","yes","yes",31,"bachelors degree","fulltime","150000+","yes","married","white",NA,NA,"no","no","yes","no","yes",NA,NA,"several times a day",NA,95993,"less often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"110",2013,6,"male","yes","yes",32,"associate","fulltime","(40000, 50000]","yes","separated","other",NA,NA,"no","yes","no","no","yes",NA,"a few times a week","several times a day",NA,90805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"111",2013,6,"male","yes","yes",32,"postgraduate degree","parttime","(20000, 30000]","yes","never been married","white",NA,NA,"yes","no","no","no","no","a few times a week",NA,NA,NA,92507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
